country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,year,month,continent
Argentina,ARG,2021-07-05,8820691,7555386,1265305,136497,19.34,16.57,2.77,2993,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,July,South America
Argentina,ARG,2021-06-05,8591061,7399515,1191546,125151,18.84,16.22,2.61,2744,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,June,South America
Argentina,ARG,2021-04-05,8197011,7149293,1047718,115766,17.97,15.68,2.3,2538,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-03-05,8039793,7051772,988021,117870,17.63,15.46,2.17,2585,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,March,South America
Argentina,ARG,2021-05-05,8391513,7261176,1130337,119075,18.4,15.92,2.48,2611,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-01-05,7971470,7002992,968478,136313,17.48,15.36,2.12,2989,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,January,South America
Argentina,ARG,2021-04-30,7865213,6926650,938563,151115,17.25,15.19,2.06,3314,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-04-29,7715006,6806565,908441,145938,16.92,14.92,1.99,3200,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-04-16,6093016,5305604,787412,162428,13.36,11.63,1.73,3562,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-04-15,5935146,5163344,771802,166276,13.01,11.32,1.69,3646,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-04-14,5754919,4996672,758247,169014,12.62,10.96,1.66,3706,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-04-13,5571878,4836246,735632,166815,12.22,10.6,1.61,3658,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-12-04,5390000,4661085,728915,161313,11.82,10.22,1.6,3537,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,December,South America
